zip,zone,delivery_rate,pickup_rate
48042,AHM Utica 3.B, $100.00 , $10.00 
48051,AHM Utica 3.B, $100.00 , $10.00 
48048,AHM Utica 3.B, $100.00 , $10.00 
48064,AHM Utica 3.B, $100.00 , $10.00 
48054,AHM Utica 3.B, $100.00 , $10.00 
48039,AHM Utica 3.B, $100.00 , $10.00 
48317,AHM Utica 4.A, $100.00 , $10.00 
48315,AHM Utica 4.A, $100.00 , $10.00 
48005,AHM Utica 4.A, $100.00 , $10.00 
48062,AHM Utica 4.A, $100.00 , $10.00 
48041,AHM Utica 4.A, $100.00 , $10.00 
48022,AHM Utica 4.A, $100.00 , $10.00 
48006,AHM Utica 4.A, $100.00 , $10.00 
48097,AHM Utica 4.A, $100.00 , $50.00 
48014,AHM Utica 4.A, $100.00 , $10.00 
48002,AHM Utica 4.A, $100.00 , $10.00 
48416,AHM Utica 4.A, $100.00 , $50.00 
48461,AHM Utica 4.A, $100.00 , $10.00 
48412,AHM Utica 4.A, $100.00 , $10.00 
48444,AHM Utica 4.A, $100.00 , $10.00 
48095,AHM Utica 4.A, $100.00 , $10.00 
48094,AHM Utica 4.A, $100.00 , $10.00 
48317,AHM Utica 4.B, $100.00 , $10.00 
48315,AHM Utica 4.B, $100.00 , $10.00 
48094,AHM Utica 4.B, $100.00 , $10.00 
48095,AHM Utica 4.B, $100.00 , $10.00 
48065,AHM Utica 4.B, $100.00 , $10.00 
48367,AHM Utica 4.B, $100.00 , $10.00 
48370,AHM Utica 4.B, $100.00 , $10.00 
48428,AHM Utica 4.B, $100.00 , $10.00 
48003,AHM Utica 4.B, $100.00 , $10.00 
48307,AHM Utica 4.B, $100.00 , $10.00 
48316,AHM Utica 4.B, $100.00 , $10.00 
48306,AHM Utica 4.B, $100.00 , $10.00 
48096,AHM Utica 3.B, $100.00 , $10.00 
48050,AHM Utica 3.B, $100.00 , $10.00 
48317,AHM Utica 5.A, $100.00 , $10.00 
48315,AHM Utica 5.A, $100.00 , $10.00 
48042,AHM Utica 5.A, $100.00 , $10.00 
48051,AHM Utica 5.A, $100.00 , $10.00 
48048,AHM Utica 5.A, $100.00 , $10.00 
48074,AHM Utica 5.A, $100.00 , $10.00 
48040,AHM Utica 5.A, $100.00 , $50.00 
48049,AHM Utica 5.A, $100.00 , $50.00 
48032,AHM Utica 5.A, $100.00 , $50.00 
48059,AHM Utica 5.A, $100.00 , $50.00 
48060,AHM Utica 5.A, $100.00 , $50.00 
48079,AHM Utica 5.A, $100.00 , $10.00 
48064,AHM Utica 5.A, $100.00 , $10.00 
48317,AHM Utica 5.B, $100.00 , $10.00 
48315,AHM Utica 5.B, $100.00 , $10.00 
48044,AHM Utica 5.B, $100.00 , $10.00 
48042,AHM Utica 5.B, $100.00 , $10.00 
48051,AHM Utica 5.B, $100.00 , $10.00 
48048,AHM Utica 5.B, $100.00 , $10.00 
48064,AHM Utica 5.B, $100.00 , $10.00 
48063,AHM Utica 5.B, $100.00 , $10.00 
48027,AHM Utica 5.B, $100.00 , $10.00 
48139,AHM Ann Arbor 2.A, $100.00 , $10.00 
48411,AHM Clarkston 5.A, $100.00 , $10.00 
48335,AHM Farmington Hills 5.B, $100.00 , $10.00 
48336,AHM Farmington Hills 5.B, $100.00 , $10.00 
48033,AHM Farmington Hills 5.B, $100.00 , $10.00 
48075,AHM Farmington Hills 5.B, $100.00 , $10.00 
48237,AHM Farmington Hills 5.B, $100.00 , $10.00 
48220,AHM Farmington Hills 5.B, $100.00 , $10.00 
48030,AHM Farmington Hills 5.B, $100.00 , $10.00 
48203,AHM Farmington Hills 5.B, $100.00 , $10.00 
48221,AHM Farmington Hills 5.B, $100.00 , $10.00 
48238,AHM Farmington Hills 5.B, $100.00 , $10.00 
48204,AHM Farmington Hills 5.B, $100.00 , $10.00 
48206,AHM Farmington Hills 5.B, $100.00 , $10.00 
48210,AHM Farmington Hills 5.B, $100.00 , $10.00 
48209,AHM Farmington Hills 5.B, $100.00 , $10.00 
48216,AHM Farmington Hills 5.B, $100.00 , $10.00 
48208,AHM Farmington Hills 5.B, $100.00 , $10.00 
48201,AHM Farmington Hills 5.B, $100.00 , $10.00 
